Preview,Collection,Obs. ID,Product ID,RA (J2000.0),Dec. (J2000.0),Start Date,Instrument,Int. Time,Target Name,Filter,Cal. Lev.,Obs. Type,Min. Wavelength,Max. Wavelength,Proposal ID,P.I. Name,Data Release,Field of View,Polygon,Pixel Scale,Resolving Power,End Date,Data Type,Moving Target,Provenance Name,Intent,Target Type,Target Standard,Target Keywords,Sequence Number,Algorithm Name,Proposal Title,Proposal Keywords,IQ,Instrument Keywords,Tau,Molecule,Transition,Proposal Project,Band,Prov. Version,Prov. Project,Prov. Run ID,Prov. Last Executed,Rest-frame Energy,Quality,Publisher ID
-----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caom:CFHT/714734,CFHT,714734.0,714734p,333.87611602550163,-17.730078673139147,52873.4170719,MegaPrime,360.05299999999994,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.975959223657398,polygon 334.3943808607479 -18.224885142510217 333.3627901200481 -18.22971665695829 333.36030110585295 -17.23429187936064 334.3868066875179 -17.228946160795132,0.18591480437732036,4.4221514508099995,52873.4212391801,image,0.0,ELIXIR,science,,0.0,,714734.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:08:48.000,,,ivo://cadc.nrc.ca/CFHT?714734/714734p
caom:CFHT/714735,CFHT,714735.0,714735p,333.8716332322019,-17.731303082499693,52873.4227018,MegaPrime,360.0380000000003,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9761243594988968,polygon 334.39000640162556 -18.226139538433017 333.35837852860084 -18.231022660140454 333.35572940742094 -17.235322575001902 334.38235643102433 -17.23027860370111,0.18592379466724668,4.4221514508099995,52873.426868906485,image,0.0,ELIXIR,science,,0.0,,714735.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:08:50.000,,,ivo://cadc.nrc.ca/CFHT?714735/714735p
caom:CFHT/714736,CFHT,714736.0,714736p,333.87756148097384,-17.734226355584077,52873.428327099995,MegaPrime,360.05999999999995,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9760171054966378,polygon 334.39579514353915 -18.229078955952545 333.3641375202006 -18.23385158263126 333.3617719308278 -17.238471217637937 334.3882965343965 -17.233013776670674,0.18591792510799468,4.4221514508099995,52873.43249446112,image,0.0,ELIXIR,science,,0.0,,714736.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:10:26.000,,,ivo://cadc.nrc.ca/CFHT?714736/714736p
caom:CFHT/714737,CFHT,714737.0,714737p,333.8805647412462,-17.72881094414599,52873.434098699996,MegaPrime,360.0669999999997,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9759996238297504,polygon 334.39878746443975 -18.223630009668597 333.36720845627315 -18.228479886480287 333.36480264803436 -17.232970354720422 334.39130406126856 -17.227690956606352,0.1859221482521933,4.4221514508099995,52873.438266142126,image,0.0,ELIXIR,science,,0.0,,714737.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:11:29.000,,,ivo://cadc.nrc.ca/CFHT?714737/714737p
caom:CFHT/714738,CFHT,714738.0,714738p,333.87482915126935,-17.72585831649097,52873.4398189,MegaPrime,360.0470000000003,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.976050013891438,polygon 334.39304960256794 -18.220705837591737 333.3613673973607 -18.225473006587805 333.35908905417216 -17.23008549393809 334.3855739998744 -17.224658409808043,0.18591108727128736,4.4221514508099995,52873.443986110644,image,0.0,ELIXIR,science,,0.0,,714738.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:11:19.000,,,ivo://cadc.nrc.ca/CFHT?714738/714738p
caom:CFHT/715199,CFHT,715199.0,715199p,333.87614110267316,-17.73048488185351,52876.4295416,MegaPrime,360.0619999999999,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.975828919051594,polygon 334.3943473087395 -18.225227933315693 333.36280763061274 -18.230167033887426 333.36049338225797 -17.234692225231612 334.3867559613162 -17.229315859374623,0.185897562080314,4.4221514508099995,52876.43370898426,image,0.0,ELIXIR,science,,0.0,,715199.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:29:52.000,,,ivo://cadc.nrc.ca/CFHT?715199/715199p
caom:CFHT/715200,CFHT,715200.0,715200p,333.87171060164377,-17.731748340792123,52876.43514659999,MegaPrime,360.04999999999984,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9758572645494468,polygon 334.3899551931129 -18.226508556170273 333.35840303631204 -18.23136630286014 333.35596826858375 -17.23581897647219 334.38246414016726 -17.23083259776807,0.18590878969358254,4.4221514508099995,52876.43931384538,image,0.0,ELIXIR,science,,0.0,,715200.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:29:57.000,,,ivo://cadc.nrc.ca/CFHT?715200/715200p
caom:CFHT/715201,CFHT,715201.0,715201p,333.87753688160075,-17.734653211320776,52876.4407927,MegaPrime,360.05999999999995,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9757392703720882,polygon 334.39574834650404 -18.22944177518987 333.3641846304996 -18.234205171141724 333.36186336963806 -17.23890117241328 334.38813006825086 -17.23352211036972,0.1859040319589341,4.4221514508099995,52876.44496006111,image,0.0,ELIXIR,science,,0.0,,715201.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:32:40.000,,,ivo://cadc.nrc.ca/CFHT?715201/715201p
caom:CFHT/715202,CFHT,715202.0,715202p,333.88059015148013,-17.729183300832375,52876.446428400006,MegaPrime,360.05700000000013,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9757503264384156,polygon 334.39873550653834 -18.2239568271833 333.36724264690343 -18.228757094674165 333.36494104039446 -17.233395210680243 334.39127049326316 -17.228124146266737,0.18590567860506887,4.4221514508099995,52876.45059572639,image,0.0,ELIXIR,science,,0.0,,715202.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:32:48.000,,,ivo://cadc.nrc.ca/CFHT?715202/715202p
